I got the file, trying to open...
__scrt_dllmain_uninitialize_critical,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,410
gzdopen,c:\users\user\projects\zlib-1.2.11\gzlib.c,289
__scrt_stub_for_acrt_uninitialize_critical,f:\dd\vctools\crt\vcstartup\src\utility\ucrt_stubs.cpp,28
deflateSetHeader,c:\users\user\projects\zlib-1.2.11\deflate.c,520
deflatePrime,c:\users\user\projects\zlib-1.2.11\deflate.c,546
gzseek64,c:\users\user\projects\zlib-1.2.11\gzlib.c,370
ReadNoFence,f:\dd\externalapis\windows\10\sdk\inc\winnt.h,7658
deflateInit_,c:\users\user\projects\zlib-1.2.11\deflate.c,233
bi_reverse,c:\users\user\projects\zlib-1.2.11\trees.c,1161
__scrt_fastfail,f:\dd\vctools\crt\vcstartup\src\utility\utility_desktop.cpp,131
inflateMark,c:\users\user\projects\zlib-1.2.11\inflate.c,1543
crc32,c:\users\user\projects\zlib-1.2.11\crc32.c,241
dllmain_crt_process_attach,f:\dd\vctools\crt\vcstartup\src\startup\dll_dllmain.cpp,34
deflate_huff,c:\users\user\projects\zlib-1.2.11\deflate.c,2133
__scrt_get_show_window_mode,f:\dd\vctools\crt\vcstartup\src\utility\utility_desktop.cpp,22
__local_stdio_scanf_options,f:\dd\externalapis\unifiedcrt\inc\corecrt_stdio_config.h,91
gztell,c:\users\user\projects\zlib-1.2.11\gzlib.c,474
deflate_stored,c:\users\user\projects\zlib-1.2.11\deflate.c,1646
_guard_icall_checks_enforced,f:\dd\vctools\crt\vcstartup\src\misc\guard_support.c,128
zlibCompileFlags,c:\users\user\projects\zlib-1.2.11\zutil.c,33
__security_init_cookie,f:\dd\vctools\crt\vcstartup\src\gs\gs_support.c,158
_tr_flush_bits,c:\users\user\projects\zlib-1.2.11\trees.c,888
gz_zero,c:\users\user\projects\zlib-1.2.11\gzwrite.c,148
deflateParams,c:\users\user\projects\zlib-1.2.11\deflate.c,572
gzoffset,c:\users\user\projects\zlib-1.2.11\gzlib.c,507
__scrt_dllmain_after_initialize_c,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,376
gzclose_w,c:\users\user\projects\zlib-1.2.11\gzwrite.c,629
gzclose_r,c:\users\user\projects\zlib-1.2.11\gzread.c,629
__scrt_dllmain_exception_filter,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,350
__report_gsfailure,f:\dd\vctools\crt\vcstartup\src\gs\gs_report.c,217
__local_stdio_printf_options,c:\program files (x86)\windows kits\10\include\10.0.17134.0\ucrt\corecrt_stdio_config.h,85
compress,c:\users\user\projects\zlib-1.2.11\compress.c,73
_onexit,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,256
compress2,c:\users\user\projects\zlib-1.2.11\compress.c,28
crc32_combine_,c:\users\user\projects\zlib-1.2.11\crc32.c,376
_crt_debugger_hook,f:\dd\vctools\crt\vcstartup\src\utility\utility_desktop.cpp,110
gzopen64,c:\users\user\projects\zlib-1.2.11\gzlib.c,281
inflateSync,c:\users\user\projects\zlib-1.2.11\inflate.c,1402
adler32_combine_,c:\users\user\projects\zlib-1.2.11\adler32.c,147
deflateSetDictionary,c:\users\user\projects\zlib-1.2.11\deflate.c,380
inflateBackInit_,c:\users\user\projects\zlib-1.2.11\infback.c,34
inflateReset,c:\users\user\projects\zlib-1.2.11\inflate.c,146
adler32,c:\users\user\projects\zlib-1.2.11\adler32.c,138
__scrt_initialize_winrt,f:\dd\vctools\crt\vcstartup\src\utility\utility_desktop.cpp,65
inflateReset2,c:\users\user\projects\zlib-1.2.11\inflate.c,160
gzbuffer,c:\users\user\projects\zlib-1.2.11\gzlib.c,319
gz_skip,c:\users\user\projects\zlib-1.2.11\gzread.c,262
gz_open,c:\users\user\projects\zlib-1.2.11\gzlib.c,95
__report_securityfailure,f:\dd\vctools\crt\vcstartup\src\gs\gs_report.c,462


